Start Date,07/01/2019,,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,GLDW LN Equity,UKX Index,GUKG10 Index,VUKE LN Equity
,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,Dividend Indicated Yield
Dates,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD
27/03/2020,11.2246,10.5296,3.081,5.1739,3.7062,2.902,3.2569,6.8506,5.1046,2.7813,0.5401,1.4218,2.5717,#N/A N/A,#N/A N/A,#N/A N/A,6.2258
03/04/2020,9.7885,9.5369,3.1878,6.0773,3.6093,3.0147,3.1023,6.6372,5.6819,2.843,0.5403,1.4258,2.4834,#N/A N/A,#N/A N/A,#N/A N/A,6.3534
10/04/2020,9.5382,9.5809,3.1878,5.6288,3.5332,3.944,3.1123,6.4017,5.2665,2.654,0.5394,1.4034,2.4175,#N/A N/A,#N/A N/A,#N/A N/A,5.8824
17/04/2020,10.5086,10.5972,3.1878,5.8258,3.5409,3.8429,2.7808,5.9529,5.2898,2.5776,0.5399,1.0718,2.3984,#N/A N/A,#N/A N/A,#N/A N/A,5.9344
24/04/2020,10.4401,10.4238,3.1878,5.8833,3.7064,3.8755,2.7015,5.8577,5.0926,2.632,0.54,1.0614,2.4087,#N/A N/A,#N/A N/A,#N/A N/A,5.9648
01/05/2020,4.2606,11.3738,3.1878,5.8833,3.7001,3.8722,2.7021,6.1355,5.143,2.5268,0.5395,1.0595,2.3897,#N/A N/A,#N/A N/A,#N/A N/A,5.9472
08/05/2020,3.9735,10.7599,3.1878,5.8833,3.7146,3.8559,2.5894,5.9032,5.1921,2.5155,0.5391,1.054,2.4112,#N/A N/A,#N/A N/A,#N/A N/A,5.7658
15/05/2020,4.2731,11.4639,3.1878,5.8833,3.6714,3.8125,2.556,5.9992,5.2171,2.5476,0.5391,1.0444,2.4217,#N/A N/A,#N/A N/A,#N/A N/A,5.9014
22/05/2020,4.0595,10.9647,3.1878,5.8833,3.6857,4.0255,2.4636,5.9436,5.4315,2.4658,0.5381,1.0387,2.3897,#N/A N/A,#N/A N/A,#N/A N/A,5.7167
29/05/2020,4.1672,11.1171,3.1878,5.8833,3.5011,4.0079,2.5831,5.9131,5.1652,2.5042,0.5382,1.0375,2.3632,#N/A N/A,#N/A N/A,#N/A N/A,5.6462
05/06/2020,3.5522,9.3832,3.1878,5.8833,3.4399,4.0184,2.63,6.0365,5.2068,2.4097,0.5392,0.7816,2.2848,#N/A N/A,#N/A N/A,#N/A N/A,1.405
12/06/2020,3.8858,10.5218,3.1878,5.8833,3.5239,4.0451,2.7025,6.1815,5.2205,2.5137,0.5382,0.7625,2.3039,#N/A N/A,#N/A N/A,#N/A N/A,1.5034
19/06/2020,3.814,10.5741,3.1878,5.8833,3.2743,4.0237,2.6108,5.9659,4.9897,2.4097,0.5383,0.7734,2.3004,#N/A N/A,#N/A N/A,#N/A N/A,1.4574
26/06/2020,3.9759,11.1591,3.1878,5.8833,3.3562,3.9662,2.621,6.0021,5.0259,2.5881,0.5378,0.7646,2.2913,#N/A N/A,#N/A N/A,#N/A N/A,1.4862
03/07/2020,4.0395,11.0521,3.1878,5.8833,3.5124,4.1309,2.62,6.0804,5.2668,2.5978,0.5377,0.7673,2.2845,#N/A N/A,#N/A N/A,#N/A N/A,1.4885
10/07/2020,4.21,11.6887,3.1878,5.8833,3.6171,4.2598,2.6059,6.2765,5.5763,2.5305,0.5312,0.7633,2.2675,#N/A N/A,#N/A N/A,#N/A N/A,1.4961
17/07/2020,4.0265,10.9895,3.1878,5.8833,3.4659,4.2637,2.4124,5.9544,5.4475,2.4815,0.5324,1.5127,2.2647,#N/A N/A,#N/A N/A,#N/A N/A,1.4498
24/07/2020,4.2229,11.4024,3.1878,5.8833,3.3175,4.1459,2.5616,6.2558,5.3787,2.4993,0.5324,1.5095,2.2557,#N/A N/A,#N/A N/A,#N/A N/A,1.4876
31/07/2020,4.3623,12.3535,3.1878,5.8833,3.3937,4.2146,2.5356,6.4619,5.3943,2.4948,0.5319,1.5014,2.2447,#N/A N/A,#N/A N/A,#N/A N/A,1.5429
07/08/2020,4.2377,5.589,3.1878,5.8833,3.4191,4.0903,2.5535,6.3564,5.3728,2.7222,0.5328,1.5135,2.2479,#N/A N/A,#N/A N/A,#N/A N/A,1.5107
