Start Date,07/01/2019,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,GLDW LN Equity,UKX Index,GUKG10 Index
,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO
04/09/2020,13.4881,20.1429,17.2387,26.2562,20.9742,25.0685,64.3675,8.629,28.565,43.9612,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.7367,#N/A N/A
11/09/2020,13.4881,20.1429,16.5516,26.2562,22.1061,25.6494,65.7308,9.1617,29.2779,44.7516,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,16.3654,#N/A N/A
18/09/2020,13.4881,20.1429,15.7129,26.2562,21.9062,25.51,69.0667,9.1725,29.0722,44.2251,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,16.2879,#N/A N/A
25/09/2020,13.4881,20.1429,14.7661,26.2562,22.05,25.0918,66.4274,8.8647,29.2916,42.5845,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.8954,#N/A N/A
02/10/2020,13.4881,20.1429,8.5711,26.2562,22.6253,24.3948,57.3796,9.1191,26.4928,46.1253,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,16.6994,#N/A N/A
09/10/2020,13.4881,20.1429,9.4105,26.2562,22.602,25.51,57.7266,9.1355,26.7329,46.7197,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17.0204,#N/A N/A
16/10/2020,13.4881,20.1429,8.9298,26.2562,22.7232,24.8943,55.8929,8.9007,26.996,45.6106,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,16.7413,#N/A N/A
23/10/2020,13.4881,20.1429,9.7842,26.2562,21.8717,24.8711,54.4806,8.4828,27.0188,45.5413,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,16.6018,#N/A N/A
30/10/2020,13.4881,20.1429,9.3474,26.2562,20.7235,23.872,52.8987,8.1546,26.2755,42.9986,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.7879,#N/A N/A
06/11/2020,13.4881,20.1429,9.7316,26.2562,21.9824,25.3009,58.6599,8.8313,26.7329,46.2037,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,16.7252,#N/A N/A
13/11/2020,13.4881,20.1429,11.7684,26.2562,22.4251,26.1024,59.9221,9.0712,27.2647,50.9169,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17.8938,#N/A N/A
20/11/2020,13.4881,20.1429,12.0842,26.2562,21.135,27.0317,58.1227,8.7972,26.59,52.1117,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17.9818,#N/A N/A
27/11/2020,13.4881,20.1429,12.2368,26.2562,21.6276,26.4625,54.4595,8.7341,24.9831,51.9284,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17.9873,#N/A N/A
04/12/2020,13.4881,20.1429,13.0368,26.2562,20.3226,26.3115,56.4306,8.7492,24.3884,52.5277,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,18.5068,#N/A N/A
11/12/2020,13.4881,20.1429,11.9351,26.2562,20.4289,25.9979,56.8022,8.9209,25.0117,52.9011,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,18.5009,#N/A N/A
18/12/2020,13.4881,20.1429,12.7193,26.2562,20.3219,26.3231,53.374,8.5624,24.8059,52.9566,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,18.4486,#N/A N/A
25/12/2020,13.4881,20.1429,13.5614,26.2562,20.28,27.055,51.4658,8.4121,24.5085,52.4482,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,18.3721,#N/A N/A
01/01/2021,13.4881,20.1429,16.6682,26.1393,21.9591,26.8807,40.9754,9.3948,24.7315,63.6476,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19.9606,#N/A N/A
08/01/2021,13.4881,20.1429,17.3773,28.2615,22.1261,28.5419,41.5804,9.8597,25.1604,66.8366,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21.2662,#N/A N/A
15/01/2021,13.4881,20.1429,16.9091,27.7311,22.1339,28.0656,42.3347,9.8961,25.0289,63.9889,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.8079,#N/A N/A
22/01/2021,13.4881,20.1429,16.2568,28.1633,22.0386,28.1005,43.599,9.6622,25.0403,64.4541,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.7877,#N/A N/A
29/01/2021,13.4881,20.1429,15.175,26.5148,21.4477,27.81,42.0785,9.4998,24.3027,65.4806,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.4864,#N/A N/A
05/02/2021,13.4881,20.1429,16.7295,27.2437,20.3297,28.6232,40.9457,8.8614,24.3427,66.7998,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.6892,#N/A N/A
12/02/2021,13.4881,20.1429,16.5795,28.1452,20.2751,27.9494,42.4347,8.9468,24.4856,67.5587,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21.0546,#N/A N/A
19/02/2021,13.4881,20.1429,17.4591,30.0481,20.2183,20.8731,41.5288,8.5071,24.1483,68.0741,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21.2029,#N/A N/A
