Start Date,07/01/2019,,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,SGLN LN Equity,UKX Index,GUKG10 Index,VUKE LN Equity
,#NAME?,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
06/12/2019,2181,473.1,169.4,561.9,4879.962,294.247,7258,1749.442,828.247,3100.5,133.4,24.25625,151.18,2178,7239.66,0.772,32.215
13/12/2019,2152.5,462.45,182.48,574.6,4873.528,318.313,7217,1744.991,861.188,3051,133.44,24.25125,151.4,2165.75,7353.44,0.791,32.475
20/12/2019,2232,485.05,178.42,600.2,4682.662,319.073,7808,1834.213,892.644,3190,133.46,24.1975,151.4,2216.25,7582.48,0.782,33.51
27/12/2019,2265.5,483.95,181.5,597.8,4735.204,324.267,7745,1839.878,891.994,3229,133.52,24.3225,151.69,2264.5,7644.9,0.755,33.815
03/01/2020,2298.5,494.05,183.3,594.4,4671.939,323.127,7700,1805.079,882.251,3189.5,133.565,24.415,152.2,2316,7622.4,0.738,33.73
10/01/2020,2263.5,495.25,181,584.6,4615.644,315.907,7645,1818.23,867.59,3245,133.56,24.27,152.24,2337.5,7587.85,0.769,33.55
17/01/2020,2248.5,496.4,175.24,594,4718.047,314.893,7878,1867.393,906.284,3281,133.53,24.62125,154.23,2339,7674.56,0.632,33.94
24/01/2020,2187,486.1,173.44,579.4,4797.396,315.273,7659,1843.924,941.266,3240,133.595,24.9075,155.525,2354,7585.98,0.563,33.56
31/01/2020,1994.4,456.7,168,551.8,4861.197,312.74,7424,1804.674,933.286,3010,133.44,25.03625,155.63,2356.25,7286.01,0.524,32.195
07/02/2020,1996.6,470,177.16,581.3,5035.443,322.747,7685,1719.903,949.06,3163.5,133.45,24.83625,154.8,2373.5,7466.7,0.57,33.015
14/02/2020,1924,456.85,175.92,584.5,4938.402,324.013,7300,1687.937,965.02,3079.5,133.28,24.7725,154.81,2375,7409.13,0.628,32.83
21/02/2020,1887.8,453.55,179.62,562.2,4924.998,323.887,7690,1677.416,987.104,3099.5,133.425,25.10125,155.43,2474,7403.92,0.573,32.8275
28/02/2020,1661.4,396.15,148.74,523.9,4471.422,289.433,6794,1580.304,911.944,2765.5,133.64,25.22,153.22,2432.25,6580.61,0.442,29.305
06/03/2020,1599.2,395.2,130.94,493.8,4666.578,304.76,7242,1612.068,942.008,2740,134.33,26.35375,155.01,2506,6462.55,0.236,28.925
